Type \ Live Suji,Total,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0
Dora Double Wind with 0 visible,5.31%,0.00%,0.00%,0.00%,2.78%,2.25%,4.27%,2.67%,5.00%,5.46%,5.61%,4.84%,6.99%,9.52%,10.37%,12.36%,17.50%,20.00%,11.11%,No Data
Dora Double Wind with 1 visible,2.99%,0.00%,0.00%,3.13%,0.00%,0.76%,2.09%,3.67%,0.78%,1.53%,3.05%,4.40%,3.65%,4.88%,7.69%,14.89%,0.00%,0.00%,33.33%,0.00%
Dora Double Wind with 2 visible,1.57%,No Data,0.00%,0.00%,0.00%,0.00%,0.87%,0.59%,2.53%,1.98%,1.50%,0.65%,0.65%,3.64%,4.48%,0.00%,4.55%,0.00%,No Data,No Data
Dora Double Wind with 3 visible,0.00%,No Data,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,No Data,No Data
Dora Dragon with 0 visible,5.96%,1.49%,1.75%,2.28%,2.38%,2.81%,3.33%,4.41%,4.67%,6.16%,6.52%,8.25%,9.49%,9.42%,10.96%,9.75%,12.65%,14.42%,31.58%,20.00%
Dora Dragon with 1 visible,2.88%,0.00%,4.35%,2.18%,1.14%,1.49%,2.01%,2.00%,1.88%,2.34%,3.28%,3.82%,3.42%,5.36%,4.91%,9.44%,12.12%,6.76%,31.25%,0.00%
Dora Dragon with 2 visible,1.27%,0.00%,0.00%,0.00%,0.52%,0.63%,0.35%,0.53%,0.68%,1.04%,1.04%,1.67%,1.85%,3.09%,2.01%,3.89%,3.41%,3.17%,18.75%,0.00%
Dora Dragon with 3 visible,0.01%,No Data,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.09%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Dora Guest Wind with 0 visible,5.20%,0.00%,1.75%,1.50%,3.38%,3.00%,2.83%,4.38%,4.59%,4.58%,6.07%,6.86%,7.28%,9.51%,10.08%,10.57%,9.80%,14.29%,15.87%,20.00%
Dora Guest Wind with 1 visible,3.15%,6.25%,1.64%,0.93%,1.25%,1.46%,1.83%,1.68%,2.09%,3.24%,4.18%,3.73%,5.03%,5.93%,5.48%,8.79%,7.08%,9.41%,16.00%,0.00%
