Type \ Live Suji,Total,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0
Non-suji 1,6.6%,3.9%,4.1%,4.3%,4.5%,4.8%,5.1%,5.6%,6.1%,6.5%,7.3%,8.1%,9.1%,10.3%,11.8%,14.1%,17.1%,19.7%,24.8%,N/A
Non-suji 2,8.2%,6.2%,5.4%,5.7%,5.8%,6.0%,6.4%,6.7%,7.3%,7.8%,8.6%,9.3%,10.3%,11.6%,13.2%,15.2%,18.2%,21.4%,24.2%,N/A
Non-suji 3,9.6%,8.8%,7.2%,7.4%,7.2%,7.3%,7.6%,8.0%,8.4%,8.9%,9.6%,10.4%,11.4%,12.9%,14.4%,16.8%,19.1%,23.1%,30.4%,N/A
Non-suji 4,14.3%,8.1%,9.2%,9.0%,9.6%,10.3%,11.3%,12.3%,13.2%,14.3%,15.5%,17.2%,18.8%,20.8%,23.5%,27.2%,31.6%,35.6%,N/A,N/A
Non-suji 5,14.5%,8.7%,7.7%,9.4%,9.6%,10.6%,11.7%,12.3%,13.4%,14.6%,15.7%,17.1%,18.6%,21.2%,23.4%,26.5%,31.5%,34.6%,N/A,N/A
Non-suji 6,14.4%,10.0%,8.2%,9.1%,9.8%,10.7%,11.4%,12.1%,13.3%,14.3%,15.7%,17.2%,18.9%,21.0%,24.2%,27.0%,30.4%,35.2%,N/A,N/A
Non-suji 7,9.6%,5.7%,6.3%,7.3%,7.4%,7.3%,7.6%,8.0%,8.5%,8.9%,9.7%,10.5%,11.4%,12.9%,14.7%,16.7%,19.3%,22.1%,27.4%,N/A
Non-suji 8,8.3%,5.4%,5.5%,5.5%,5.9%,6.1%,6.4%,6.8%,7.3%,7.9%,8.6%,9.4%,10.4%,11.7%,13.4%,15.8%,18.5%,21.7%,21.4%,N/A
Non-suji 9,6.7%,4.3%,4.3%,4.4%,4.6%,4.7%,5.1%,5.6%,6.1%,6.7%,7.4%,8.2%,9.1%,10.6%,12.1%,14.0%,16.9%,20.8%,25.2%,N/A
Suji 1,1.5%,N/A,N/A,1.6%,1.4%,1.1%,1.1%,1.2%,1.2%,1.2%,1.3%,1.4%,1.5%,1.6%,1.9%,2.2%,2.7%,3.2%,4.4%,4.6%
Suji 2,3.0%,N/A,N/A,1.6%,2.5%,2.4%,2.3%,2.3%,2.4%,2.5%,2.6%,2.8%,3.0%,3.5%,3.9%,4.3%,5.4%,6.4%,8.1%,10.1%
Suji 3,4.5%,N/A,N/A,4.5%,4.5%,4.3%,4.0%,3.8%,3.8%,3.8%,4.0%,4.2%,4.4%,4.8%,5.5%,6.5%,7.6%,8.9%,10.3%,17.5%
Suji 4,2.2%,N/A,N/A,0.8%,1.4%,1.4%,1.4%,1.7%,1.7%,1.7%,1.9%,2.0%,2.2%,2.3%,2.6%,2.8%,3.5%,3.6%,4.9%,4.9%
Suji 5,2.2%,N/A,N/A,2.2%,0.9%,1.9%,1.8%,1.7%,1.9%,1.8%,2.0%,2.0%,2.2%,2.3%,2.7%,2.8%,3.3%,3.9%,4.7%,4.5%
Suji 6,2.1%,N/A,N/A,0.0%,0.8%,1.6%,1.7%,1.7%,1.7%,1.8%,1.9%,2.0%,2.1%,2.3%,2.4%,2.8%,3.3%,3.9%,3.9%,7.1%
Suji 7,4.6%,N/A,N/A,5.8%,4.3%,3.8%,4.1%,3.7%,3.9%,3.9%,4.0%,4.2%,4.5%,5.0%,5.5%,6.3%,7.5%,9.0%,11.3%,13.9%
Suji 8,3.1%,N/A,N/A,2.8%,2.1%,2.4%,2.4%,2.4%,2.5%,2.5%,2.7%,2.9%,3.1%,3.3%,3.8%,4.6%,5.3%,7.3%,8.5%,9.5%
Suji 9,1.5%,N/A,N/A,1.9%,1.4%,1.1%,1.2%,1.1%,1.2%,1.3%,1.3%,1.5%,1.5%,1.6%,1.9%,2.2%,2.7%,3.2%,3.9%,8.3%
Riichi suji 1,1.5%,N/A,N/A,1.2%,1.1%,1.2%,1.1%,1.2%,1.3%,1.3%,1.4%,1.8%,1.9%,2.6%,2.7%,3.2%,3.7%,4.2%,6.9%,12.0%
Riichi suji 2,5.2%,N/A,N/A,4.0%,3.7%,3.7%,3.9%,4.4%,4.5%,4.7%,5.1%,6.0%,6.1%,7.1%,7.9%,9.4%,11.1%,14.4%,17.3%,21.1%
Riichi suji 3,7.7%,N/A,N/A,6.0%,5.7%,6.1%,6.2%,6.4%,6.6%,7.2%,7.0%,8.1%,8.7%,9.9%,10.9%,12.9%,15.4%,18.2%,19.7%,36.0%
Riichi suji 7,7.7%,N/A,N/A,6.1%,6.0%,5.8%,6.2%,6.2%,6.9%,6.7%,7.3%,7.7%,9.1%,10.1%,11.8%,13.8%,15.0%,17.7%,25.7%,17.1%
Riichi suji 8,5.4%,N/A,N/A,4.2%,3.9%,4.0%,3.8%,4.5%,4.7%,4.8%,5.2%,5.8%,6.6%,7.6%,8.3%,9.5%,11.7%,15.8%,16.1%,12.5%
Riichi suji 9,1.5%,N/A,N/A,1.4%,1.4%,1.0%,1.2%,1.1%,1.2%,1.4%,1.5%,1.7%,1.9%,2.6%,2.5%,3.8%,3.7%,6.3%,6.1%,0.0%
Half suji 4,8.3%,N/A,3.4%,4.6%,5.3%,5.5%,5.8%,6.1%,6.6%,7.1%,7.8%,8.6%,9.2%,10.7%,12.2%,14.3%,16.4%,18.9%,22.8%,N/A
Half suji 5,8.7%,N/A,7.8%,5.2%,5.3%,5.6%,6.2%,6.4%,6.8%,7.4%,8.2%,8.8%,9.8%,10.8%,12.4%,14.3%,16.0%,19.6%,20.0%,N/A
Half suji 6,8.3%,N/A,4.6%,4.9%,5.4%,5.8%,5.9%,6.2%,6.8%,7.2%,7.7%,8.6%,9.2%,10.5%,12.0%,14.0%,16.5%,19.5%,21.9%,N/A
Half suji via riichi tile 4,8.0%,N/A,3.8%,4.6%,5.2%,5.6%,6.1%,7.0%,7.0%,7.6%,8.7%,9.4%,10.5%,11.4%,12.5%,15.4%,14.7%,21.4%,9.5%,N/A
Half suji via riichi tile 5,8.0%,N/A,3.3%,5.0%,4.5%,5.6%,6.0%,6.6%,7.2%,7.6%,8.7%,8.8%,10.9%,10.8%,12.0%,14.8%,15.3%,14.9%,29.2%,N/A
Half suji via riichi tile 6,8.0%,N/A,4.4%,4.5%,4.3%,5.7%,5.8%,6.7%,7.1%,7.7%,8.3%,9.3%,10.1%,11.7%,14.4%,15.0%,17.2%,15.9%,14.8%,N/A
Nakasuji with riichi tile 4,3.8%,N/A,N/A,2.2%,1.6%,2.6%,2.7%,3.3%,3.2%,3.4%,3.9%,3.7%,4.4%,4.3%,5.0%,5.4%,5.8%,6.1%,10.1%,2.7%
